Key,Type,Desc,English,Turkish,German,French,Italian,Spanish,Portuguese,Japanese,Korean
help_support_label,Text,,"Help and Support","Yardım ve Destek","Hilfe und Support","Aide et assistance","Aiuto e assistenza","Ayuda","Ajuda e suporte","ヘルプとサポート","도움 및 지원"
edit,Text,,"Edit","Düzenle","Bearbeiten","Modifier","Modifica","Editar","Editar","編集","수정"
searching_indicator,Text,,"Searching","Aranıyor","Durchsuchen","Rechercher","Ricerca...","Buscando","Buscando","検索中","검색"
remove_ads_option,Text,,"Remove ADS","Reklamları Kaldır","Werbung entfernen","Retirer les publicités","Rimuovi annunci","Eliminar anuncios","Remover anúncios","広告をブロック","광고 제거"
save_progress_option,Text,,"Save Progress","İlerlemeyi Kaydet","Fortschritt speichern","Sauvegarder la progression","Salva i progressi","Guardar progreso","Salvar progresso","進行を保存","진행 상황 저장"
signed_in_facebook,Text,,"Signed in with<br>Facebook","Facebook ile<br>giriş yapıldı","Mit Facebook<br>angemeldet","Connecté avec<br>Facebook","Accesso con<br>Facebook","Sesión iniciada con<br>Facebook","Entrou com o<br>Facebook","Facebookでサインインしました","Facebook으로<br>로그인 됨"
report,Text,,"Report","Bildir","Melden","Signaler","Segnala","Denunciar","Denunciar","報告","신고"
out_of_space_warning,Text,,"Out Of Space!","Yer Kalmadı!","Kein Platz mehr!","Plus d'espace !","Spazio esaurito!","¡Sin espacio!","Sem espaço!","スペースが<br>足りません！","공간이 없어요!"
team_badge_label,Text,,"Team Badge","Takım Rozeti","Teamabzeichen","Badge d'équipe","Distintivo","Escudo de equipo","Emblema da equipe","チームバッジ","팀 배지"
requesting_life,Text,,"Requesting Life!","Can İsteniyor!","Bittet um Leben!","Demande de vie !","Chiede una vita!","Pidiendo vidas","Pedindo vida!","ライフのリクエスト中！","생명 요청 중!"
teams,Text,,"Teams","Takımlar","Teams","Équipes","Squadre","Equipos","Equipes","チーム","팀"
rejoin_team_restriction,Text,,"{0} won't be<br>able to rejoin your team.","Bu oyuncu, takımına<br>tekrar katılamayacak.","Dieser Spieler kann nicht wieder<br>in dein Team aufgenommen werden.","Ce joueur ne peut pas<br>rejoindre votre équipe.","Questo giocatore non potrà<br>unirsi di nuovo alla tua squadra.","Este jugador no podrá<br>volver a unirse al equipo.","Este jogador não poderá<br>voltar à equipe.","このプレイヤーはチームに<br>再加入できません。","이 플레이어는 귀하의 팀에<br>다시 가입할 수 없습니다."
send,Text,,"Send","Gönder","Senden","Envoyer","Invia","Enviar","Enviar","送る","보내기"
no_internet_connection_warning,Text,,"No Internet Connection","İnternet Bağlantısı Yok","Keine Internetverbindung","Pas de connexion Internet","Nessuna connessione Internet","Sin conexión a internet","Sem Internet","インターネットに接続していません","인터넷에 연결 안 됨"
update_available_notice,Text,,"Update Available!","Güncelleme Mevcut!","Update verfügbar!","Mise à jour disponible !","Aggiornamento disponibile!","¡Actualización disponible!","Atualização disponível!","アップデート可能！","업데이트가 있어요!"
online_nickname_change_requirement,Text,,"You need to be online to change your nickname!","Kullanıcı adını değiştirmek için çevrimiçi olmalısın!","Du musst online sein, um deinen Spitznamen zu ändern!","Vous devez être en ligne pour modifier votre pseudo.","Devi essere online per cambiare il tuo nickname!","¡Conéctate para cambiar el nombre!","Você precisa estar online para trocar de apelido!","オンラインでなければニックネームを変更できません！","온라인 상태에서만 닉네임을 변경할 수 있습니다!"
win_levels_increase_multiplier,Text,,"Win levels without failing<br>to increase the score multiplier!","Skor çarpanını artırmak için<br>seviyeleri ilk denemende geç!","Gewinne Levels, ohne zu scheitern,<br>um den Punktemultiplikator zu erhöhen!","Gagnez des niveaux sans perdre<br>pour augmenter le multiplicateur de score !","Supera i livelli senza perdere<br>per aumentare il moltiplicatore di punti!","¡Supera niveles sin fallar<br>para aumentar el multiplicador!","Complete níveis sem perder para<br>aumentar o multiplicador de pontuação!","失敗せずにレベルをクリアし<br>スコアマルチプライヤーを上げましょう！","점수를 배로 올리려면<br>실패 없이 연속으로 레벨을 공략하세요!"
select_boosters,Text,,"Select Boosters:","Takviye Seç:","Booster auswählen:","Choisir les boosters :","Seleziona i potenziamenti:","Elegir potenciadores:","Selecione os reforços:","ブースターを選択：","부스터 선택:"
unlock_teams_level_20,Text,,"Reach <color=#FEBC00>Level 20</color><br>to unlock <color=#FEBC00>Teams</color>","<color=#FEBC00>Takımların</color> kilidini açmak için<br><color=#FEBC00>20. Seviyeye</color> ulaş","Erreiche <color=#FEBC00>Level 20</color>,<br>um <color=#FEBC00>Teams</color> freizuschalten","Atteignez le <color=#FEBC00>niveau 20</color><br>pour débloquer les <color=#FEBC00>Équipes</color>","Raggiungi il <color=#FEBC00>livello 20</color><br>per sbloccare le <color=#FEBC00>squadre</color>","Alcanza el <color=#FEBC00>nivel 20</color><br>para desbloquear los <color=#FEBC00>equipos</color>.","Chegue ao <color=#FEBC00>nível 20</color><br>para desbloquear as <color=#FEBC00>equipes</color>","<color=#FEBC00>レベル20</color>に到達して<br><color=#FEBC00>チーム</color>をアンロック","<color=#FEBC00>20 레벨</color>에 도달하면<br><color=#FEBC00>팀</color> 기능을 잠금 해제합니다"
start_competing_players,Text,,"Start competing<br>against other players!","Diğer oyunculara<br>karşı yarışmaya başla!","Tritt gegen andere<br>Spieler an!","Commencez à jouer<br>contre d'autres joueurs !","Inizia a competere<br>con gli altri giocatori!","¡Empieza a competir<br>contra otros!","Comece a competir<br>com outros jogadores!","他のプレイヤーと<br>競い合いましょう！","다른 플레이어와<br>경쟁을 시작하세요!"
key_challenge,Text,,"Key Challenge","Anahtar Mücadelesi","Schlüsselherausforderung","Défi des clefs","Sfida delle chiavi","Reto de llaves","Desafio das Chaves","キーチャレンジ","열쇠 챌린지"
join_dash_prompt,Text,,"Join the dash!","Yarışa katıl!","Mach mit beim Rausch!","Rejoignez la course !","Unisciti alla corsa!","¡Únete al esprint!","Participe da corrida!","ダッシュに参加！","대시에 참가하세요!"
use_free_lives,Text,,"Use Free Lives","Ücretsiz Canları Kullan","Gratisleben nutzen","Utiliser des vies gratuites","Usa le vite gratis","Usar vidas gratis","Use vidas grátis","無料のライフを使用","무료 생명 사용"
set_nickname_prompt,Text,,"Set Nickname","Kullanıcı Adını Belirle","Spitznamen festlegen","Définir le pseudo","Imposta un nickname","Elegir nombre","Definir apelido","ニックネームを設定","닉네임 설정"
match_3_items_instruction,Text,,"Match 3 Items!","3 Öğeyi Eşleştir!","Kombiniere 3 Gegenstände!","Associez 3 objets !","Abbina 3 oggetti!","¡Combina 3 objetos!","Combine 3 itens!","3つのアイテムを<br>マッチ！","매일 보상을<br>받아 가세요!"
age_restriction_info,Text,,"This information will only be used to<br>help us follow regional age restrictions","Bu bilgi, sadece bölgesel yaş kısıtlamalarına<br>uymamıza yardımcı olmak için kullanılacaktır","Diese Informationen werden nur verwendet,<br>um regionale Altersbeschränkungen einzuhalten.","Ces données seront uniquement utilisées afin de respecter<br>les restrictions régionales en matière d'âge.","Queste informazioni saranno utilizzate solo<br>per aiutarci a rispettare le restrizioni regionali sull'età","Esta información nos ayudará a cumplir<br>con las restricciones de edad de tu región.","Essa informação será usada apenas para<br>obedecer às restrições regionais de idade","この情報は各地域の年齢制限の<br>順守のためだけに使われます","이 정보는 지역별 연령 제한을<br>준수하는 데에만 사용됩니다."
completed_all_stages,Text,,"You have completed all stages!","Tüm aşamaları tamamladın!","Du hast alle Stufen abgeschlossen!","Vous avez terminé toutes les étapes !","Hai completato tutte le fasi!","¡Has completado todas las fases!","Você completou todas as etapas!","全てのステージを完了しました！","모든 스테이지를 완료했어요!"
beat_levels_label,Text,,"Beat Levels!","Seviyeleri Geç!","Gewinne Level!","Terminez des niveaux !","Supera i livelli!","¡Supera niveles!","Complete níveis!","レベルを<br>クリアしよう！","레벨을 공략하세요!"
failed_message,Text,,"Failed!","Başarısız Oldun!","Fehlgeschlagen!","Échec !","Hai perso!","¡Fallo!","Fracasso!","失敗！","失敗！"
age_not_valid_warning,Text,,"Your age is not valid for this game","Yaşın bu oyun için uygun değil","Für dieses Spiel ist dein Alter nicht angemessen","Vous n'avez pas l'âge requis pour jouer à ce jeu","La tua età non è valida per questo gioco","No puedes jugar debido a tu edad.","Sua idade é inválida para o jogo","このゲームをプレイできるご年齢ではありません","귀하는 이 게임을 할 수 없는 나이입니다"
ride_up_prompt,Text,,"Ride Up!","Yüksel!","Mach dich bereit!","Montez à l'étage supérieur !","Sali!","¡Asciende!","Suba!","上を目指しましょう！","위로 오르세요!"
your_rank,Text,,"Your Rank","Sıralaman","Dein Rang","Votre rang","Il tuo grado","Tu puesto","Sua classificação","自分のランク","내 순위"
view_team,Text,,"View Team","Takımı Görüntüle","Team anzeigen","Voir l'équipe","Vedi squadra","Ver equipo","Ver equipe","チームを<br>見る","팀 보기"
star_chest,Text,,"Star Chest","Yıldız Sandığı","Sterntruhe","Coffre d'étoile","Forziere delle stelle","Cofre de estrellas","Baú de estrela","星のチェスト","별 상자"
feedback,Text,,"Feedback","Geri Bildirim","Feedback","Commentaire","Feedback","Opinión","Comentários","フィードバック","의견"
select_badge_prompt,Text,,"Select Badge","Rozet Seç","Abzeichen wählen","Choisir un badge","Seleziona il distintivo","Elegir escudo","Selecionar emblema","バッジを選択","배지 선택"
facebook_signin_failed,Text,,"Facebook sign in <color=red>failed!</color>","Facebook ile giriş <color=red>başarısız!</color>","Facebook-Anmeldung <color=red>fehlgeschlagen!</color>","La connexion avec Facebook a <color=red>échoué !</color>","Accesso con Facebook <color=red>non riuscito</color>!","<color=red>Error</color> al iniciar sesión con Facebook","<color=red>Falha</color> ao entrar com o Facebook!","Facebookでのサインインに<color=red>失敗</color>しました！","Facebook 로그인 <color=red>실패!</color>"
legal_documents_reading_prompt,Text,,"Please take some time to read and understand these important legal documents.","Lütfen bu önemli yasal belgeleri okuyup anlamaya vakit ayır.","Nimm dir bitte etwas Zeit, diese wichtigen rechtlichen Dokumente durchzulesen.","Veuillez prendre le temps de lire et de comprendre ces importants documents légaux.","Si invita l'Utente a leggere attentamente e a comprendere i presenti importanti documenti legali.","Lee con detenimiento estos importantes documentos legales.","Pedimos que reserve um tempo para ler e entender esses importantes documentos legais.","重要な法的文書をお読みいただき、ご理解いただくようお願いします。","이 중요한 법률 문서들을 자세히 읽어 주십시오."
hard,Text,,"Hard","Zor","Schwer","Difficile","Difficile","Difícil","Difícil","難しい","어려운"
play_on,Text,,"Play On","Oynamaya Devam Et","Weiter-<br>spielen","Jouer","Continua","Seguir jugando","Continue jogando","続ける","게임 시작"
out_of_lives_short,Text,,"Out of Lives","Canın Kalmadı","Keine Leben mehr","Pas de vie","Vite esaurite","Sin vidas","Sem vidas","ライフなし","생명 부족"
account_deletion_received,Text,,"Your account deletion request has been received.","Hesap silme talebin alındı.","Deine Anfrage auf Löschung deines Kontos wurde erhalten.","Votre demande de suppression de compte a été reçue.","La richiesta di cancellazione del tuo account è stata ricevuta.","Se ha recibido tu solicitud de eliminación de cuenta.","Recebemos seu pedido de exclusão da conta.","アカウントの削除リクエストを受け付けました。","귀하의 계정 삭제 요청이 접수되었습니다."
inbox_full_warning,Text,,"Your inbox is full!","Gelen kutun dolu!","Dein Posteingang ist voll!","Votre boîte de réception est pleine.","La tua posta è piena!","¡Buzón lleno!","Sua caixa de entrada está cheia!","受信箱がいっぱいです！","받은 편지함이 꽉 찼어요!"
get,Text,,"Get","Edin","Erhalten","Obtenir","Ottieni","Obtener","Obter","入手","받기"
update,Text,,"Update","Güncelleme","Update","Mise à jour","Aggiorna","Actualizar","Atualizar","アップデート","업데이트"
most_popular_label,Text,,"Most Popular","En Popüler","Am beliebtesten","Plus populaire","Più popolare","Más popular","Mais vendido","一番人気","인기 최고"
help,Text,,"Help","Yardım","Hilfe","Aider","Aiuta","Ayudar","Ajudar","ヘルプ","도움"
score_boost_month,Text,,"Boost your Score<br>for that month","Belirli ay için<br>Skorunu yükselt","Erhöhe deinen Punktestand<br>für diesen Monat!","Boostez votre score<br>du mois","Aumenta il tuo punteggio<br>per quel mese","¡Mejora tu puntuación<br>de ese mes!","Maximize sua pontuação<br>no mês","１か月間スコアを<br>たくさん貯めよう","한 달 동안 점수를<br>크게 올리세요"
team_type_label,Text,,"Team Type:","Takım Türü:","Teamtyp:","Type d'équipe:","Tipo di squadra:","Tipo de equipo:","Tipo de equipe:","チームタイプ:","팀 유형:"
free_lives_coins_internet,Text,,"You need an internet connection<br>to get free lives and coins.","Ücretsiz can ve altın almak için<br>internete bağlı olmalısın.","Du brauchst eine Internetverbindung,<br>um kostenlose Leben und Münzen zu bekommen.","Une connexion Internet est nécessaire<br>pour obtenir des vies et des pièces gratuites.","Per ottenere vite gratis e monete<br>è necessaria una connessione a Internet.","Necesitas una conexión a internet<br>para obtener monedas y vidas gratis.","Você precisa de uma conexão com a Internet<br>para receber moedas e vidas grátis.","無料のライフとコインを受け取るには<br>インターネットへの接続が必要です。","무료 생명과 코인을 받으려면<br>인터넷에 연결되어 있어야 합니다."
more_offers_prompt,Text,,"More Offers?","Daha Fazla Teklife Ne Dersin?","Weitere Angebote?","Plus d'offres ?","Altre offerte?","¿Más ofertas?","Mais ofertas?","その他のオファー","더 많은 혜택을 원하세요?"
local,Text,,"Local","Yerel","Lokal","Local","Locale","Local","Local","ローカル","로컬"
jetpack_ride_finished,Text,,"Jetpack Ride is finished!","Jetpack Gezintisi bitti!","Die Jetpack-Fahrt ist zu Ende!","Le Voyage en jet pack est terminé !","Giro in jetpack terminato!","¡Fin de A toda mecha!","O Passeio de Jetpack acabou!","ジェットパックライドが終了！","제트팩 비행이 끝났습니다!"
masters,Text,,"Masters","Ustalar","Meister","Maîtres","Maestri","Maestros","Mestres","マスター","마스터"
confirmation_prompt,Text,,"Are You Sure?","Emin misin?","Bist du sicher?","Confirmer ?","Confermi?","¿Seguro?","Tem certeza?","本当によろしいですか？","확실합니까?"
leaderboard,Text,,"Leaderboard","Lider Tablosu","Bestenliste","Classement","Classifica","Clasificación","Ranking","ランキング","리더보드"
game_update_prompt,Text,,"Please update the game<br>for a better experience!","Lütfen daha iyi bir deneyim için<br>oyunu güncelle!","Bitte aktualisiere das Spiel<br>für ein besseres Erlebnis!","Veuillez mettre le jeu à jour<br>pour profiter d'une meilleure expérience !","Aggiorna il gioco per<br>migliorare la tua esperienza!","¡Actualiza el juego para disfrutar<br>de una experiencia mejor!","Atualize o jogo<br>para ter uma experiência melhor!","ゲームをアップデートして<br>もっと楽しみましょう！","더 나은 경험을 위해<br>게임을 업데이트하세요!"
top_teams,Text,,"Top Teams","En İyi Takımlar","Top-Teams","Meilleures équipes","Migliori squadre","Mejores equipos","Melhores equipes","トップチーム","상위 팀"
edit_team,Text,,"Edit Team","Takımı Düzenle","Team bearbeiten","Modifier l'équipe","Modifica squadra","Editar equipo","Editar equipe","チームを編集","팀 수정"
cancel_deletion_option,Text,,"If you return to the game before your account is deleted, you can cancel the deletion process.","Hesabın silinmeden önce oyuna dönersen silme işlemini iptal edebilirsin.","Wenn du zum Spiel zurückkehrst, bevor dein Konto gelöscht wird, kannst du den Löschvorgang abbrechen.","Si vous retournez sur le jeu avant que votre compte ne soit supprimé, il est possible d'annuler la suppression.","Se torni al gioco prima che il tuo account venga cancellato, puoi annullare il processo di cancellazione.","Si vuelves al juego antes de que se elimine la cuenta, podrás cancelar el proceso de eliminación.","Se você voltar ao jogo antes que a conta seja apagada, poderá cancelar o processo de exclusão.","アカウントの削除前にゲームに戻ると、削除プロセスがキャンセルさます。","귀하의 계정이 삭제되기 전에 게임에 다시 로그인하면 삭제 과정을 취소할 수 있습니다."
terms_acceptance_required,Text,,"You must accept our new terms in order to play after February 28, 2024.","28 Şubat 2024'ten sonra oynamaya devam etmek için yeni şartlarımızı kabul etmelisin.","Du musst unsere neuen Bedingungen akzeptieren, um nach dem 28. Februar 2024 spielen zu können.","Vous devez accepter nos nouvelles conditions pour continuer à jouer après le 28 février 2024.","Per poter giocare dopo il 28 febbraio 2024 dovrai accettare i nuovi termini.","Deberás aceptar las nuevas condiciones para poder jugar después del 28 de febrero de 2024.","Você precisa aceitar os novos termos para continuar jogando após 28/02/2024.","2024年2月28日以降にプレイするには、新しい規約に同意する必要があります。","2024년 2월 28일 이후에도 계속 게임을 하려면 새 서비스 약관을 수락해야 합니다."
google_signin_failed,Text,,"Google sign in <color=red>failed!</color>","Google ile giriş <color=red>başarısız!</color>","Google-Anmeldung <color=red>fehlgeschlagen!</color>","La connexion avec Google a <color=red>échoué !</color>","Accesso con Google <color=red>non riuscito</color>!","<color=red>Error</color> al iniciar sesión con Google","<color=red>Falha</color> ao fazer login com o Google!","Googleでのサインインに<color=red>失敗</color>しました！","Google 로그인 <color=red>실패!</color>"
age_prompt,Text,,"Please tell us your age:","Lütfen bize yaşını söyle:","Bitte verrate uns dein Alter:","Veuillez indiquer votre âge :","Quanti anni hai?","¿Cuántos años tienes?","Informe sua idade:","年齢を教えてください：","나이를 알려주세요."
internet_connection_required,Text,,"Need internet connection!","İnternete bağlı olmalısın!","Internetverbindung benötigt!","Nécessite une connexion Internet !","Nessuna connessione a Internet!","¡Necesitas conectarte!","Requer uma conexão com a Internet!","インターネットへの接続が必要です！","인터넷에 연결해야 합니다!"
team_info,Text,,"Team Info","Takım Bilgisi","Team-Info","Infos de l'équipe","Info squadra","Información del equipo","Informações<br>desta equipe","チーム情報","팀 정보"
free_lives,Text,,"Free Lives","Ücretsiz Canlar","Gratis-Leben","Vies gratuites","Vite gratis","Vidas gratis","Vidas grátis","無料のライフ","무료 생명"
one_time_free_offer,Text,,"It's free only for once!","Sadece bir kereliğine ücretsiz!","Es ist nur einmalig kostenlos!","Gratuit pour une fois seulement !","È gratis solo per una volta!","¡Gratis solo una vez!","Só dessa vez, é grátis!","一度だけ無料です！","단 한 번만 무료입니다!"
quit_game,Text,,"Quit","Çık","Beenden","Quitter","Esci","Salir","Sair","終了","종료"
feedback_prompt,Text,,"Let us know what you think!","Fikirlerini bizimle paylaş!","Lass uns wissen, was du denkst!","Dites-nous ce que vous en pensez !","Facci sapere cosa ne pensi!","¡Danos tu opinión!","Diga o que você achou!","ご意見をお聞かせください！","여러분의 의견을 나눠주세요!"
score_multiplier_challenge,Text,,"Increase the Score<br>Multiplier Without Failing!","Başarısız Olmadan<br>Skor Çarpanını Artır!","Erhöhe den Punktemultiplikator,<br>ohne zu versagen!","Augmentez le multiplicateur de score<br>en ne perdant pas de partie !","Aumenta il moltiplicatore<br>di punti senza perdere!","¡Aumentarás el multiplicador<br>de puntos si no fallas!","Aumente o multiplicador<br>de pontuação ao não<br>perder!","失敗せずにスコア<br>マルチプライヤーを上げましょう！","실패 없이 플레이하고<br>점수를 배로 올리세요!"
enter_team_name,Text,,"Enter team name...","Takım adını gir...","Teamname eingeben ...","Saisissez le nom de l'équipe...","Immetti il nome della squadra...","Escribe el nombre del equipo...","Digite o nome da equipe...","チーム名を入力…","팀 이름 입력..."
join_team_offer,Text,,"Join a team<br>for free lives!","Ücretsiz canlar için<br>bir takıma katıl!","Tritt einem Team bei<br>für kostenlose Leben!","Rejoignez une équipe<br>pour gagner des vies gratuites !","Unisciti a una squadra<br>per ricevere vite gratis!","¡Únete a un equipo<br>para ganar vidas gratis!","Entre em uma equipe<br>para ganhar vidas!","チームに参加して<br>無料のライフを受け取りましょう！","팀에 가입하고<br>무료 생명을 받으세요!"
shop_bundle,Text,,"Shop Bundle","Mağaza Paketi","Shop-Bundle","Pack de la Boutique","Acquista Bundle","Lote de la Tienda","Pacote da Loja","バンドルを購入","상점 번들"
signed_in_with_apple,Text,,"Signed in with<br>Apple","Apple ile<br>giriş yapıldı","Mit Apple<br>angemeldet","Connecté avec<br>Apple","Accesso con<br>Apple","Sesión iniciada con Apple","Iniciou sessão<br>com a Apple","Appleでサインイン<br>しました","Apple로<br>로그인 됨"
kick_member_confirmation,Text,,"Kick Member?","Üye atılsın mı?","Mitglied entfernen?","Voulez-vous renvoyer ce membre ?","Confermi l'espulsione?","¿Expulsar miembro?","Expulsar membro?","メンバーをキックしますか？","팀원을 내보내시겠습니까?"
change_name,Text,,"Change Name","Adını Değiştir","Namen ändern","Modifier le nom","Cambia nome","Cambiar nombre","Trocar apelido","名前の変更","이름 변경"
delete,Text,,"Delete","Sil","Löschen","Supprimer","Cancella","Eliminar","Apagar","削除","삭제하기"
cancel,Text,,"Cancel","İptal Et","Abbrechen","Annuler","Annulla","Cancelar","Cancelar","キャンセル","취소"
account_deletion,Text,,"Account Deletion","Hesap Silme","Kontolöschung","Suppression du compte","Cancellazione account","Eliminación de cuenta","Exclusão de conta","アカウント削除","계정 삭제"
vacuum,Text,,"Vacuum","Süpürge","Staubsauger","Aspirateur","Aspirapolvere","Aspiradora","Aspirador","掃除機","진공청소기"
spring,Text,,"Spring","Yay","Springfeder","Ressort","Molla","Muelle","Mola","スプリング","용수철"
fan,Text,,"Fan","Vantilatör","Ventilator","Ventilateur","Ventilatore","Ventilador","Ventilador","扇風機","선풍기"
icegun,Text,,"Icegun","Dondurucu","Eiskanone","Pistolet à glace","Pistola congelante","Pistola de hielo","Pistola de gelo","アイスガン","얼음 총"
booster_vacuum_info,Text,,"<style=TH1>Vacuum</style> collects up to <style=TH1>3 goal items</style>","<style=TH1>Süpürge</style> <style=TH1>3 hedef öğeye</style> kadar toplar","<style=TH1>Staubsauger</style> sammelt bis zu <style=TH1>3 Zielgegenstände</style> ein.","L'<style=TH1>Aspirateur</style> récupère jusqu'à <style=TH1>3 objets d'objectif</style>","L'<style=TH1>Aspirapolvere</style> raccoglie fino a <style=TH1>3 oggetti obiettivo</style>","La <style=TH1>aspiradora</style> recoge hasta <style=TH1>3 elementos de objetivo</style>","<style=TH1>Aspirador</style> coleta até <style=TH1>3 itens de objetivo</style>","<style=TH1>掃除機</style>で最大<style=TH1>3個</style>の<br><style=TH1>目標アイテム</style>を<br>回収できます","<style=TH1>진공청소기</style>는 최대 <style=TH1>3개의 목표물</style>을 수집할 수 있습니다"
booster_spring_info,Text,,"<style=TH1>Spring</style> removes the <style=TH1>last item</style> from the bar","<style=TH1>Yay</style> çubuktaki <style=TH1>son öğeyi</style> kaldırır","Die <style=TH1>Sprungfeder</style> entfernt <style=TH1>den letzten Gegenstand</style> von der Leiste.","Le <style=TH1>Ressort</style> retire le <style=TH1>dernier objet</style> de la barre","La <style=TH1>Molla</style> rimuove l'<style=TH1>ultimo oggetto</style> dalla piattaforma","El <style=TH1>muelle</style> elimina el <style=TH1>último elemento</style> de la barra.","<style=TH1>Mola</style> remove o <style=TH1>último item</style> da barra","<style=TH1>スプリング</style>は<style=TH1>最後のアイテム</style>をバーから除きます","<style=TH1>용수철</style>은 바에 있는 <style=TH1>마지막 아이템</style>을 제거합니다"
booster_fan_info,Text,,"<style=TH1>Fan</style> shuffles board to find <style=TH1>hidden</style> items","<style=TH1>Vantilatör</style> <style=TH1>gizli</style> öğeleri bulmak için tahtayı karıştırıyor","Der <style=TH1>Ventilator</style> mischt das Feld, um <style=TH1>versteckte</style> Gegenstände zu finden.","Le <style=TH1>Ventilateur</style> mélange le plateau pour trouver des objets <style=TH1>cachés</style>","Il <style=TH1>Ventilatore</style> mescola gli oggetti per trovare quelli <style=TH1>nascosti</style>","El <style=TH1>ventilador</style> baraja el tablero para encontrar elementos <style=TH1>ocultos</style>.","<style=TH1>Ventilador</style> embaralha o tabuleiro para encontrar itens <style=TH1>ocultos</style>","<style=TH1>扇風機</style>はボードをシャッフルして<style=TH1>隠された</style>アイテムを見つけます","<style=TH1>선풍기</style>로 보드 위를 뒤섞어 <style=TH1>숨은</style> 아이템을 찾을 수 있습니다"
booster_icegun_info,Text,,"<style=TH1>Icegun</style> stops the timer for <style=TH1>10</style> seconds","<style=TH1>Dondurucu</style> zamanlayıcıyı <style=TH1>10</style> saniyeliğine durdurur","Die <style=TH1>Eiskanone</style> stoppt die Uhr für <style=TH1>10</style> Sekunden.","Le <style=TH1>Pistolet à glace</style> arrête le chronomètre pendant <style=TH1>10</style> secondes","La <style=TH1>Pistola congelante</style> ferma il timer per <style=TH1>10</style> secondi","La  <style=TH1>pistola de hielo</style> detiene el tiempo durante <style=TH1>10</style> segundos.","<style=TH1>Pistola de gelo</style> interrompe o cronômetro por <style=TH1>10</style> segundos","<style=TH1>アイスガン</style>は<style=TH1>10</style>秒間<br>タイマーを止めます","<style=TH1>얼음 총</style>으로 <style=TH1>10</style>초 동안 타이머를 멈추게 할 수 있습니다"
booster,Text,,"Booster","Takviye","Booster","Booster","Potenziamento","Potenciador","Reforço","ブースター","부스터"
finished,Text,,"Finished","Bitti","Beendet","Terminé","Completato","Ha finalizado","Acabou","完了","완료"
you_have_won,Text,,"You have won!","Kazandın!","Du hast gewonnen!","Vous avez gagné !","Hai vinto!","¡Has ganado!","Você ganhou!","クリアしました！","공략 성공!"
take_the_lead,Text,,"Take the lead<br>next time!","Bir dahaki sefere<br>birinci ol!","Übernimm nächstes<br>Mal die Führung!","Prenez l'avantage<br>la prochaine fois !","Prendi il comando<br>la prossima volta!","¡Lidera<br>la próxima vez!","Assuma a liderança<br>na próxima vez!","次回は一位を<br>目指しましょう！","다음에는<br>선두를 차지하세요!"
mine_dash_started,Text,,"Mine Dash<br>Started","Maden Yarışı<br>Başladı","Minensturm<br>gestartet","L'événement Mine d'or<br>a démarré","Miniera d'oro<br>iniziato","Esprint minero<br>iniciado","Corrida da<br>Mina começou","マインダッシュが<br>開始","마인 대시<br>시작"
searching_opponents,Text,,"Searching<br>for opponents","Rakip<br>aranıyor","Suche<br>nach Gegnern","En recherche<br>d'adversaires","Ricerca<br>di avversari...","Buscando<br>rivales","Buscando<br>oponentes","対戦相手を<br>検索中","상대를<br>찾는 중"
jetpack_ride_rewards,Text,,"Jetpack Ride<br>Rewards","Jetpack Gezintisi<br>Ödülleri","Belohnungen<br>für Jetpack-Fahrt","Récompenses du<br>Voyage en jet pack","Ricompense di<br>Giro in jetpack","Recompensas de<br>A toda mecha","Recompensas do<br>Passeio de Jetpack","ジェットパック<br>ライド報酬","제트팩 비행<br>보상"
perfect,Text,,"Perfect","Mükemmel","Perfekt","Parfait","Perfetto","Perfecto","Perfeito","パーフェクト","완벽해요"
great,Text,,"Great","Harika","Großartig","Génial","Ottimo","Genial","Ótimo","グレート","대단해요"
good,Text,,"Good","İyi","Gut","Bien","Bene","Bien","Bom","グッド","좋아요"
yes,Text,,"Yes","Evet","Ja","Oui","Sì","Sí","Sim","はい","예"
more_lives,Text,,"More Lives","Daha Çok Can","Mehr Leben","Plus de vies","Altre vite","Más vidas","Mais vidas","ライフをもっと獲得","생명 추가"
purchase_canceled,Text,,"Your purchase has been canceled.","Satın alımın iptal edildi.","Dein Kauf wurde storniert.","Votre achat a été annulé.","Il tuo acquisto è stato annullato.","Se ha cancelado la compra.","A compra foi cancelada.","購入はキャンセルされました。","구매가 취소되었습니다."
purchase_completed,Text,,"Purchase successfully completed.","Satın alım başarıyla tamamlandı.","Kauf erfolgreich abgeschlossen.","L'achat a été effectué avec succès.","Acquisto completato con successo.","Se ha completado la compra.","Compra concluída.","購入が完了しました。","구매가 완료되었습니다."
purchase_restored,Text,,"An old purchase completed now.","Eski bir satın alım şimdi tamamlandı.","Ein vorheriger Kauf, der jetzt abgeschlossen ist.","Un ancien achat est maintenant complété.","Un acquisto precedente è stato completato.","Se ha completado una compra antigua.","Uma compra antiga foi concluída.","以前の購入が今完了しました。","이전 구매가 지금 완료되었습니다."
purchase_no_internet,Text,,"There is no internet access.","İnternet bağlantısı yok.","Es gibt keinen Internetzugang.","Pas de connexion Internet.","Non hai accesso a Internet.","No hay acceso a internet.","Sem acesso à Internet.","インターネットへ接続されていません。","인터넷에 액세스할 수 없습니다."
